"Player";"Team";"Match";"Competition";"Position";"Position Group";"Minutes Played";"Birthdate";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Matisse Samoise";"KAA Gent";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"RB";"Full Back";"100.62";"2001-11-21";"10901.6";"1868.5";"702.1";"186.0";"888.2";"59.9";"14.3";"74.2";"91.2";"7.2";"76.0";"14.3";"27.20"
"Julien De Sart";"KAA Gent";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"LDM";"Midfield";"63.22";"1994-12-23";"10941.8";"1627.2";"512.5";"72.6";"585.1";"42.7";"5.7";"48.4";"84.0";"5.7";"79.7";"18.5";"25.80"
"Félix  Lemaréchal";"KSV Cercle Brugge";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"AM";"Midfield";"70.22";"2003-08-07";"12140.1";"2421.1";"1089.4";"321.7";"1411.1";"80.7";"17.9";"98.7";"85.9";"10.3";"80.7";"17.9";"28.40"
"Hannes Van der Bruggen";"KSV Cercle Brugge";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"LDM";"Midfield";"100.62";"1993-04-01";"10538.5";"2153.8";"690.5";"118.1";"808.6";"49.2";"4.5";"53.7";"69.8";"1.8";"77.8";"16.1";"26.20"
"Hugo Siquet";"KSV Cercle Brugge";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"RB";"Full Back";"79.10";"2002-07-09";"10184.5";"1459.8";"656.5";"253.7";"910.2";"64.9";"14.8";"79.6";"78.5";"8.0";"61.4";"17.1";"29.10"
"Jesper Daland";"KSV Cercle Brugge";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"LCB";"Central Defender";"100.62";"2000-01-06";"9161.9";"1153.8";"475.0";"187.8";"662.8";"40.3";"8.1";"48.3";"78.7";"6.3";"53.7";"10.7";"30.40"
"Filip Havelka";"FK Teplice";"FK Teplice v FC Baník Ostrava";"CZE - First League";"LM";"Midfield";"81.62";"1998-01-21";"10945.1";"1891.1";"617.5";"144.4";"761.9";"46.3";"6.6";"52.9";"67.3";"4.4";"68.4";"16.5";"27.40"
"Abdoull Tanko";"FC Baník Ostrava";"FK Teplice v FC Baník Ostrava";"CZE - First League";"CF";"Center Forward";"74.50";"1998-05-12";"9289.9";"1125.9";"534.0";"337.0";"871.0";"47.1";"13.3";"60.4";"67.7";"7.2";"68.9";"14.5";"30.50"
"Marek Beránek";"FK Teplice";"FK Teplice v FC Baník Ostrava";"CZE - First League";"LWB";"Full Back";"99.63";"2003-05-16";"9869.9";"1436.3";"602.5";"185.2";"787.7";"53.3";"7.2";"60.5";"82.2";"2.7";"67.8";"15.4";"28.30"
"Petr Hronek";"FK Teplice";"FK Teplice v FC Baník Ostrava";"CZE - First League";"CF";"Center Forward";"99.63";"1993-07-04";"10299.0";"1527.6";"714.5";"276.4";"991.0";"57.8";"12.6";"70.5";"75.0";"5.4";"65.9";"19.0";"29.50"
"Tomáš  Rigo";"FC Baník Ostrava";"FK Teplice v FC Baník Ostrava";"CZE - First League";"RDM";"Midfield";"99.63";"2002-07-03";"9846.4";"1215.0";"476.1";"224.0";"700.1";"29.8";"12.6";"42.5";"65.9";"4.5";"69.6";"11.7";"28.70"
"Štěpán Chaloupek";"FK Teplice";"FK Teplice v FC Baník Ostrava";"CZE - First League";"CB";"Central Defender";"99.63";"2003-08-03";"9362.2";"1109.3";"501.4";"289.1";"790.4";"34.3";"12.6";"47.0";"68.7";"4.5";"56.9";"15.4";"30.60"
"Daniel Trubač";"FK Teplice";"FK Teplice v FC Baník Ostrava";"CZE - First League";"RM";"Midfield";"91.42";"1997-07-17";"9867.3";"1352.7";"513.9";"209.7";"723.6";"37.4";"8.9";"46.3";"78.8";"3.0";"66.0";"13.8";"29.30"
"Robert Jukl";"FK Teplice";"FK Teplice v FC Baník Ostrava";"CZE - First League";"DM";"Midfield";"91.42";"1998-10-28";"9706.8";"1298.5";"474.5";"146.7";"621.2";"34.5";"6.9";"41.3";"75.8";"2.0";"62.0";"12.8";"28.20"
"Matěj Radosta";"FK Teplice";"FK Teplice v FC Baník Ostrava";"CZE - First League";"RWB";"Full Back";"81.62";"2001-05-10";"10293.4";"1607.7";"849.1";"251.4";"1100.5";"57.3";"14.3";"71.7";"86.0";"6.6";"69.5";"21.0";"30.40"
"Patrick Kpozo";"FC Baník Ostrava";"FK Teplice v FC Baník Ostrava";"CZE - First League";"LB";"Full Back";"99.63";"1997-07-15";"9696.5";"1207.8";"619.7";"203.3";"822.9";"47.9";"14.5";"62.3";"81.3";"7.2";"75.0";"26.2";"28.30"
"Jiří Boula";"FC Baník Ostrava";"FK Teplice v FC Baník Ostrava";"CZE - First League";"LDM";"Midfield";"96.12";"1999-04-08";"10134.8";"1425.1";"552.4";"158.2";"710.7";"41.2";"8.4";"49.6";"73.0";"3.7";"65.5";"10.3";"28.90"
"Tadeáš Vachoušek";"FK Teplice";"FK Teplice v FC Baník Ostrava";"CZE - First League";"CF";"Center Forward";"66.48";"2004-01-11";"10057.3";"1242.8";"553.7";"223.4";"777.1";"52.8";"12.2";"65.0";"79.9";"5.4";"67.7";"13.5";"28.70"
"David Lischka";"FC Baník Ostrava";"FK Teplice v FC Baník Ostrava";"CZE - First League";"RCB";"Central Defender";"99.63";"1997-08-15";"8701.0";"1037.9";"314.4";"86.7";"401.1";"25.3";"4.5";"29.8";"65.9";"1.8";"60.5";"7.2";"26.80"
"David Buchta";"FC Baník Ostrava";"FK Teplice v FC Baník Ostrava";"CZE - First League";"RW";"Wide Attacker";"74.50";"1999-06-27";"9820.3";"1485.9";"585.9";"88.2";"674.1";"48.3";"3.6";"51.9";"76.1";"6.0";"66.4";"20.5";"25.60"
"Jan Juroška";"FC Baník Ostrava";"FK Teplice v FC Baník Ostrava";"CZE - First League";"RB";"Full Back";"99.63";"1993-03-02";"9865.4";"1332.4";"536.6";"174.3";"710.9";"43.4";"8.1";"51.5";"81.3";"6.3";"65.9";"20.8";"29.10"
"Ewerton Paixão Da Silva";"FC Baník Ostrava";"FK Teplice v FC Baník Ostrava";"CZE - First League";"LW";"Wide Attacker";"90.95";"1996-12-28";"9003.0";"1210.2";"535.3";"162.3";"697.6";"49.5";"5.9";"55.4";"75.2";"6.9";"72.2";"17.8";"29.50"
