"Player";"Team";"Match";"Competition";"Position";"Position Group";"Minutes Played";"Birthdate";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Sang-Min Sim";"Pohang Steelers FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"LB";"Full Back";"102.59";"1993-05-21";"9822.0";"1363.3";"540.4";"218.4";"758.8";"46.5";"13.2";"59.7";"103.5";"8.8";"87.7";"15.8";"29.40"
"Jae-Hee Jeong";"Pohang Steelers FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"RW";"Wide Attacker";"71.90";"1994-04-28";"10807.5";"1773.7";"599.6";"201.5";"801.1";"53.8";"12.5";"66.3";"112.7";"10.0";"97.6";"21.3";"27.70"
"Jong-Woo Kim";"Pohang Steelers FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"LDM";"Midfield";"102.59";"1993-10-01";"10523.8";"1188.7";"293.0";"39.5";"332.5";"22.8";"2.6";"25.4";"116.7";"2.6";"77.2";"7.0";"25.30"
"Dae-Won Kim";"Gangwon FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"LW";"Wide Attacker";"101.51";"1997-02-10";"9889.3";"1252.8";"604.7";"230.5";"835.2";"48.8";"14.2";"62.9";"93.1";"9.8";"87.8";"18.6";"29.10"
"Tiago Pereira da Silva";"Daejeon Hana Citizen FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"CF";"Center Forward";"96.90";"1993-10-28";"9809.0";"1131.3";"624.1";"260.1";"884.2";"53.9";"13.9";"67.8";"105.9";"7.4";"85.4";"13.9";"28.90"
"Young-Bin Kim";"Gangwon FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"CB";"Central Defender";"101.51";"1991-09-20";"9143.6";"1033.8";"384.8";"183.5";"568.3";"26.6";"10.6";"37.2";"89.5";"6.2";"65.6";"12.4";"29.30"
"Se-Jong Ju";"Daejeon Hana Citizen FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"RDM";"Midfield";"91.26";"1990-10-30";"10047.3";"1259.4";"338.3";"27.6";"365.9";"28.6";"2.0";"30.6";"90.7";"4.9";"72.0";"12.8";"24.80"
"Anton Krivotsyuk";"Daejeon Hana Citizen FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"LCB";"Central Defender";"101.51";"1998-08-20";"10009.0";"1168.6";"405.2";"211.0";"616.2";"31.9";"12.4";"44.3";"78.9";"3.5";"75.4";"8.9";"30.20"
"Hyun-Jun Yang";"Gangwon FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"RW";"Wide Attacker";"89.20";"2002-05-25";"10198.7";"1323.8";"532.7";"245.2";"777.9";"46.4";"10.1";"56.5";"101.9";"5.0";"95.9";"23.2";"30.40"
"Young-Jae Seo";"Daejeon Hana Citizen FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"LWB";"Full Back";"101.51";"1995-05-23";"9640.1";"1057.7";"524.9";"317.4";"842.3";"44.3";"13.3";"57.6";"102.0";"6.2";"71.8";"26.6";"31.40"
"Min-Duk Kim";"Daejeon Hana Citizen FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"RCB";"Central Defender";"101.51";"1996-07-08";"9865.3";"1374.2";"404.3";"166.7";"571.0";"32.8";"8.0";"40.8";"85.1";"6.2";"85.1";"13.3";"30.20"
"Jae-Suk Oh";"Daejeon Hana Citizen FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"RWB";"Full Back";"101.51";"1990-01-04";"9769.6";"1313.1";"440.6";"137.4";"578.1";"37.2";"8.9";"46.1";"89.5";"9.8";"75.4";"13.3";"27.70"
"Chang-Woo Rim";"Gangwon FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"RCB";"Central Defender";"101.51";"1992-02-13";"9504.5";"1184.5";"573.6";"204.8";"778.4";"42.6";"8.9";"51.4";"90.4";"6.2";"79.8";"18.6";"28.20"
"Seok-Yeong Yun";"Gangwon FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"LCB";"Central Defender";"101.51";"1990-02-13";"9073.6";"1089.6";"493.0";"180.9";"673.8";"38.1";"15.1";"53.2";"84.2";"5.3";"62.1";"15.1";"28.00"
"Seung-Yong Jung";"Gangwon FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"LWB";"Full Back";"101.51";"1991-03-25";"9229.6";"1214.7";"562.1";"172.0";"734.1";"44.3";"11.5";"55.9";"96.6";"5.3";"70.0";"18.6";"28.10"
"Jin-Hyun Lee";"Daejeon Hana Citizen FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"LDM";"Midfield";"70.00";"1997-08-26";"11607.4";"2089.3";"586.3";"149.1";"735.4";"36.0";"5.1";"41.1";"124.7";"6.4";"104.1";"16.7";"27.60"
"Min-Woo Seo";"Gangwon FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"RM";"Midfield";"85.33";"1998-03-12";"11217.0";"1923.8";"532.6";"201.5";"734.1";"40.1";"8.4";"48.5";"100.2";"4.2";"78.0";"15.8";"28.90"
"Leandro Joaquim Ribeiro";"Daejeon Hana Citizen FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"CF";"Center Forward";"70.00";"1995-01-13";"10546.7";"1302.4";"690.4";"426.9";"1117.3";"46.3";"25.7";"72.0";"115.7";"7.7";"86.1";"14.1";"31.10"
"Hyeon-Sik Lee";"Daejeon Hana Citizen FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"AM";"Midfield";"96.90";"1996-03-21";"11022.9";"1839.9";"758.8";"266.6";"1025.4";"59.4";"13.0";"72.4";"114.2";"6.5";"99.4";"24.1";"28.60"
"Yu-Min Cho";"Daejeon Hana Citizen FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"CB";"Central Defender";"101.51";"1996-11-17";"9646.3";"1111.8";"303.2";"109.1";"412.3";"29.3";"5.3";"34.6";"86.0";"0.9";"71.8";"11.5";"29.40"
"Kook-Young Han";"Gangwon FC";"Daejeon Hana Citizen FC v Gangwon FC";"KOR - K League 1";"LM";"Midfield";"101.51";"1990-04-19";"11115.5";"2041.0";"553.2";"65.6";"618.9";"39.0";"4.4";"43.4";"104.6";"3.5";"85.1";"15.1";"25.80"
"Ju-Sung Kim";"FC Seoul";"Gwangju FC v FC Seoul";"KOR - K League 1";"LCB";"Central Defender";"97.25";"2000-12-12";"9056.5";"928.2";"255.4";"53.7";"309.1";"23.1";"5.6";"28.7";"108.3";"4.6";"83.3";"13.0";"27.70"
"Timo Letschert";"Gwangju FC";"Gwangju FC v FC Seoul";"KOR - K League 1";"RCB";"Central Defender";"98.75";"1993-05-25";"9678.1";"1175.7";"401.0";"118.5";"519.5";"32.8";"6.4";"39.2";"109.4";"2.7";"79.3";"13.7";"27.40"
"Sang-Hyub Lim";"FC Seoul";"Gwangju FC v FC Seoul";"KOR - K League 1";"LW";"Wide Attacker";"98.75";"1988-07-08";"9717.3";"1217.6";"627.0";"191.4";"818.4";"57.4";"9.1";"66.5";"123.9";"8.2";"91.1";"26.4";"28.60"
"Sung-Yueng Ki";"FC Seoul";"Gwangju FC v FC Seoul";"KOR - K League 1";"LM";"Midfield";"98.75";"1989-01-24";"10386.2";"1389.9";"466.6";"142.2";"608.8";"43.7";"6.4";"50.1";"115.7";"3.6";"88.4";"16.4";"29.20"
"Sandro César Cordovil de Lima";"Gwangju FC";"Gwangju FC v FC Seoul";"KOR - K League 1";"CF";"Center Forward";"82.54";"1990-10-28";"10265.9";"1548.3";"574.6";"165.7";"740.4";"54.5";"12.0";"66.5";"138.5";"6.5";"97.0";"22.9";"28.90"
"Jasir Asani";"Gwangju FC";"Gwangju FC v FC Seoul";"KOR - K League 1";"RW";"Wide Attacker";"64.90";"1995-05-19";"10881.8";"1776.4";"887.5";"271.8";"1159.3";"73.5";"15.3";"88.8";"109.6";"8.3";"105.4";"22.2";"27.10"
"Jin-Ya Kim";"FC Seoul";"Gwangju FC v FC Seoul";"KOR - K League 1";"RB";"Full Back";"98.75";"1998-06-30";"9551.4";"1068.2";"514.9";"279.8";"794.7";"51.9";"14.6";"66.5";"102.1";"10.9";"90.2";"21.0";"31.70"
"Osmar Barba Ibáñez";"FC Seoul";"Gwangju FC v FC Seoul";"KOR - K League 1";"RCB";"Central Defender";"98.75";"1988-06-05";"9267.9";"855.8";"211.4";"80.2";"291.6";"17.3";"3.6";"21.0";"107.5";"2.7";"79.3";"11.8";"29.80"
"Ui-Jo Hwang";"FC Seoul";"Gwangju FC v FC Seoul";"KOR - K League 1";"CF";"Center Forward";"85.00";"1992-08-28";"10193.3";"1684.6";"722.1";"190.6";"912.7";"63.5";"13.8";"77.3";"113.3";"9.5";"94.2";"27.5";"27.40"
"Tae-Seok Lee";"FC Seoul";"Gwangju FC v FC Seoul";"KOR - K League 1";"LB";"Full Back";"98.75";"2002-07-28";"9394.6";"1114.6";"442.9";"216.9";"659.8";"37.4";"10.0";"47.4";"110.3";"10.9";"96.6";"21.9";"30.10"
"Min-Ki Lee";"Gwangju FC";"Gwangju FC v FC Seoul";"KOR - K League 1";"LB";"Full Back";"98.75";"1993-05-19";"10674.2";"1664.2";"782.0";"298.9";"1080.9";"66.5";"15.5";"82.0";"116.7";"10.9";"102.1";"33.7";"30.00"
"Ho-Yeon Jeong";"Gwangju FC";"Gwangju FC v FC Seoul";"KOR - K League 1";"RDM";"Midfield";"98.75";"2000-09-28";"10927.6";"1731.6";"606.1";"200.5";"806.6";"50.1";"10.0";"60.2";"110.3";"6.4";"97.5";"17.3";"27.80"
"Soon-Min Lee";"Gwangju FC";"Gwangju FC v FC Seoul";"KOR - K League 1";"LDM";"Midfield";"98.75";"1994-05-22";"11305.8";"1902.1";"587.8";"98.4";"686.3";"47.4";"4.6";"51.9";"104.8";"2.7";"94.8";"16.4";"27.20"
"Young-Kyu Ahn";"Gwangju FC";"Gwangju FC v FC Seoul";"KOR - K League 1";"LCB";"Central Defender";"87.00";"1989-12-04";"9784.1";"1319.0";"331.0";"75.5";"406.6";"29.0";"3.1";"32.1";"111.7";"3.1";"90.0";"12.4";"27.00"
"Heui-Kyun Lee";"Gwangju FC";"Gwangju FC v FC Seoul";"KOR - K League 1";"AM";"Midfield";"64.90";"1998-04-29";"11388.0";"2181.4";"793.2";"299.5";"1092.8";"69.3";"16.6";"86.0";"113.7";"8.3";"95.7";"26.3";"28.80"
"Hyeon-Seok Doo";"Gwangju FC";"Gwangju FC v FC Seoul";"KOR - K League 1";"RB";"Full Back";"87.00";"1995-12-21";"9780.0";"1368.6";"490.3";"120.0";"610.3";"44.5";"8.3";"52.8";"104.5";"8.3";"90.0";"22.8";"27.50"
"Jin-Hyuk Kim";"Daegu FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"RCB";"Central Defender";"90.45";"1993-06-03";"9469.7";"1247.8";"353.2";"136.3";"489.6";"31.8";"7.0";"38.8";"88.6";"6.0";"71.6";"11.9";"28.90"
"Se-Jin Park";"Daegu FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"RM";"Midfield";"62.97";"2004-03-19";"11775.6";"2536.9";"761.8";"125.8";"887.6";"70.0";"2.9";"72.9";"122.9";"7.1";"90.0";"24.3";"27.80"
"Hyun-Beom Ahn";"Jeju United FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"RWB";"Full Back";"99.57";"1994-12-21";"9410.4";"1338.7";"650.8";"235.9";"886.7";"57.8";"12.7";"70.5";"96.7";"6.3";"79.5";"18.1";"30.40"
"Jae-Won Hwang";"Daegu FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"LWB";"Full Back";"99.57";"2002-08-16";"9663.5";"1363.1";"653.5";"227.8";"881.3";"55.1";"9.9";"65.1";"106.7";"6.3";"85.0";"19.0";"30.40"
"Chae-Min Lim";"Jeju United FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"CB";"Central Defender";"99.57";"1990-11-18";"8133.2";"810.8";"287.4";"90.4";"377.8";"26.2";"5.4";"31.6";"75.9";"5.4";"61.5";"8.1";"27.80"
"Jin-Su Seo";"Jeju United FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"RF";"Wide Attacker";"74.70";"2000-10-18";"9666.3";"1516.9";"509.6";"109.6";"619.3";"49.4";"7.2";"56.6";"94.0";"10.8";"84.3";"7.2";"28.60"
"Chang-Min Lee";"Jeju United FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"RM";"Midfield";"99.57";"1994-01-20";"9629.1";"1345.0";"468.2";"160.0";"628.2";"36.2";"5.4";"41.6";"86.8";"4.5";"72.3";"10.8";"30.10"
"Oh-Kyu Kim";"Jeju United FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"RCB";"Central Defender";"99.57";"1989-06-20";"8713.5";"904.8";"411.3";"124.7";"536.0";"30.7";"9.9";"40.7";"83.2";"9.0";"64.2";"10.8";"27.90"
"Woon Jeong";"Jeju United FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"LCB";"Central Defender";"99.57";"1989-06-30";"8632.1";"971.7";"361.6";"88.6";"450.1";"33.4";"4.5";"38.0";"81.3";"6.3";"67.8";"9.9";"27.50"
"Yuri Jonathan Vitor Coelho";"Jeju United FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"CF";"Center Forward";"99.57";"1998-06-12";"8551.7";"1040.4";"378.7";"236.8";"615.5";"33.4";"14.5";"47.9";"85.0";"13.6";"74.1";"16.3";"31.00"
"Sung-Won Jang";"Daegu FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"RWB";"Full Back";"99.57";"1997-06-17";"10696.6";"1722.8";"805.4";"269.4";"1074.7";"62.4";"12.7";"75.0";"94.0";"6.3";"66.9";"17.2";"29.70"
"César Fernando Silva dos Santos";"Daegu FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"CF";"Center Forward";"99.57";"1989-11-29";"8919.6";"1144.3";"450.1";"120.2";"570.4";"46.1";"8.1";"54.2";"88.6";"6.3";"75.0";"13.6";"26.90"
"Edgar Bruno da Silva";"Daegu FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"LF";"Wide Attacker";"99.57";"1987-01-03";"8303.1";"815.3";"284.7";"47.9";"332.6";"32.5";"2.7";"35.3";"94.0";"2.7";"73.2";"9.0";"27.10"
"Jeong-Un Hong";"Daegu FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"CB";"Central Defender";"99.57";"1994-11-29";"8485.7";"762.9";"245.0";"70.5";"315.5";"27.1";"3.6";"30.7";"82.3";"5.4";"63.3";"10.8";"26.90"
"Jin-Woo Jo";"Daegu FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"LCB";"Central Defender";"99.57";"1999-11-17";"8658.3";"924.7";"327.2";"68.7";"395.9";"29.8";"3.6";"33.4";"83.2";"6.3";"65.1";"9.0";"25.60"
"Ju-Yong Lee";"Jeju United FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"LWB";"Full Back";"99.57";"1992-09-26";"10173.2";"1536.6";"745.7";"344.4";"1090.1";"59.7";"15.4";"75.0";"107.6";"10.8";"82.3";"17.2";"30.00"
"Jae-Hyun Go";"Daegu FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"RF";"Wide Attacker";"99.57";"1999-03-05";"10132.6";"1851.2";"704.1";"217.8";"922.0";"60.6";"15.4";"75.9";"126.5";"12.7";"105.8";"22.6";"29.60"
"Ja-Cheol Koo";"Jeju United FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"LM";"Midfield";"83.80";"1989-02-27";"9484.4";"1351.1";"365.2";"30.1";"395.2";"39.7";"3.2";"43.0";"84.8";"4.3";"76.3";"11.8";"24.60"
"Isnairo Reis Silva Morais";"Jeju United FC";"Daegu FC v Jeju United FC";"KOR - K League 1";"LF";"Wide Attacker";"99.57";"1993-01-06";"10373.9";"1604.4";"655.3";"273.9";"929.2";"60.6";"16.3";"76.8";"93.1";"5.4";"77.7";"15.4";"30.00"
"Ju-Ho Park";"Suwon FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"RDM";"Midfield";"62.70";"1987-01-16";"11346.9";"1455.5";"387.6";"45.9";"433.5";"28.7";"1.4";"30.1";"107.7";"2.9";"87.6";"14.4";"24.00"
"Yong Lee";"Suwon FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"RB";"Full Back";"100.68";"1986-12-24";"9960.1";"1298.0";"594.5";"164.5";"758.9";"53.6";"9.8";"63.5";"95.6";"10.7";"91.2";"17.9";"29.10"
"Seung-Woo Lee";"Suwon FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"LW";"Wide Attacker";"84.45";"1998-01-06";"9919.7";"1342.8";"462.5";"75.7";"538.2";"46.9";"3.2";"50.1";"115.1";"6.4";"98.0";"17.1";"28.40"
"Seung-Wook Park";"Pohang Steelers FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"RB";"Full Back";"100.68";"1997-05-07";"9542.6";"1197.0";"389.7";"84.9";"474.7";"39.3";"5.4";"44.7";"109.1";"8.0";"86.7";"26.8";"27.20"
"Sung-Dong Baek";"Pohang Steelers FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"LW";"Wide Attacker";"74.80";"1991-08-13";"10256.1";"1466.7";"758.0";"167.2";"925.3";"59.0";"9.6";"68.6";"114.3";"12.0";"99.9";"24.1";"27.40"
"Chan-Yong Park";"Pohang Steelers FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"LCB";"Central Defender";"100.68";"1996-01-27";"9023.2";"1040.5";"304.8";"61.7";"366.5";"30.4";"5.4";"35.8";"104.6";"6.3";"84.0";"8.9";"26.60"
"Oberdan Alionço de Lima";"Pohang Steelers FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"RDM";"Midfield";"100.68";"1995-07-30";"10587.6";"1615.3";"504.2";"68.8";"573.0";"46.5";"3.6";"50.1";"113.5";"4.5";"103.7";"13.4";"26.80"
"Jae-Sung Lee";"Suwon FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"RCB";"Central Defender";"100.68";"1988-07-05";"8983.0";"1000.3";"341.5";"67.0";"408.5";"31.3";"3.6";"34.9";"104.6";"5.4";"84.9";"11.6";"26.70"
"Cheol-Woo Park";"Suwon FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"LB";"Full Back";"73.37";"1997-10-21";"10202.1";"1353.0";"569.2";"271.1";"840.3";"50.3";"9.8";"60.1";"110.4";"9.8";"93.2";"20.9";"29.00"
"Young-Jun Goh";"Pohang Steelers FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"AM";"Midfield";"91.05";"2001-07-09";"10994.7";"1557.8";"731.5";"311.4";"1042.8";"62.3";"18.8";"81.1";"117.6";"4.0";"91.9";"19.8";"29.00"
"Gwang-Hyeok Lee";"Suwon FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"RW";"Wide Attacker";"100.68";"1995-09-11";"10129.9";"1550.1";"812.6";"162.7";"975.3";"74.2";"15.2";"89.4";"110.0";"15.2";"92.1";"25.9";"27.60"
"Bit-Garam Yoon";"Suwon FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"LDM";"Midfield";"100.68";"1990-05-07";"10612.6";"1598.3";"362.9";"37.5";"400.5";"28.6";"2.7";"31.3";"110.8";"1.8";"96.5";"17.0";"25.30"
"Lars Veldwijk";"Suwon FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"CF";"Center Forward";"85.20";"1991-08-21";"9330.6";"1135.6";"577.8";"135.2";"713.0";"58.1";"8.5";"66.5";"109.9";"11.6";"75.0";"24.3";"27.50"
"José Joaquim de Carvalho";"Pohang Steelers FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"CF";"Center Forward";"68.85";"1997-03-06";"10260.1";"1486.3";"594.8";"288.9";"883.7";"58.8";"15.7";"74.5";"109.8";"9.2";"87.6";"31.4";"28.60"
"Lachlan Jackson";"Suwon FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"LCB";"Central Defender";"100.68";"1995-03-12";"9563.2";"902.0";"348.6";"110.8";"459.5";"23.2";"5.4";"28.6";"101.0";"4.5";"76.0";"13.4";"29.30"
"Chang-Rae Ha";"Pohang Steelers FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"RCB";"Central Defender";"100.68";"1994-10-16";"9048.3";"1058.4";"241.4";"42.9";"284.3";"23.2";"2.7";"25.9";"103.7";"5.4";"74.2";"6.3";"29.40"
"Sang-Min Sim";"Pohang Steelers FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"LB";"Full Back";"100.68";"1993-05-21";"10030.7";"1325.7";"559.6";"111.7";"671.3";"51.8";"6.3";"58.1";"115.3";"8.9";"85.8";"24.1";"27.60"
"Jong-Woo Kim";"Pohang Steelers FC";"Suwon FC v Pohang Steelers FC";"KOR - K League 1";"LDM";"Midfield";"91.05";"1993-10-01";"11004.6";"1667.5";"384.5";"34.6";"419.1";"36.6";"2.0";"38.6";"114.7";"6.9";"95.9";"14.8";"24.70"
"Tiago Pereira da Silva";"Daejeon Hana Citizen FC";"Daejeon Hana Citizen FC v Pohang Steelers FC";"KOR - K League 1";"CF";"Center Forward";"76.49";"1993-10-28";"9995.4";"1375.5";"531.8";"93.0";"624.8";"57.7";"5.9";"63.5";"115.3";"4.7";"85.9";"18.8";"27.80"
"Seung-Wook Park";"Pohang Steelers FC";"Daejeon Hana Citizen FC v Pohang Steelers FC";"KOR - K League 1";"RB";"Full Back";"98.32";"1997-05-07";"8784.0";"893.4";"323.1";"145.5";"468.7";"35.7";"6.4";"42.1";"90.6";"6.4";"83.3";"17.4";"31.40"
"Chan-Yong Park";"Pohang Steelers FC";"Daejeon Hana Citizen FC v Pohang Steelers FC";"KOR - K League 1";"LCB";"Central Defender";"98.32";"1996-01-27";"8558.8";"737.8";"262.7";"65.0";"327.7";"19.2";"4.6";"23.8";"76.0";"3.7";"70.5";"9.2";"28.70"
"Oberdan Alionço de Lima";"Pohang Steelers FC";"Daejeon Hana Citizen FC v Pohang Steelers FC";"KOR - K League 1";"RDM";"Midfield";"98.32";"1995-07-30";"10761.2";"1631.2";"537.3";"144.6";"682.0";"42.1";"7.3";"49.4";"105.3";"2.7";"101.6";"17.4";"29.20"
