"Player";"Team";"Match";"Competition";"Position";"Position Group";"Minutes Played";"Birthdate";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Vitaliy Ermakov";"FC Chernomorets Odessa";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"LCB";"Central Defender";"94.46";"1992-06-07";"9952.8";"1133.8";"345.9";"54.3";"400.2";"28.6";"2.9";"31.4";"76.2";"5.7";"76.2";"9.5";"25.90"
"Maksym  Bragaru";"FC Chernomorets Odessa";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"LB";"Full Back";"93.81";"2002-07-21";"9888.4";"1192.5";"629.4";"214.9";"844.3";"48.0";"11.5";"59.5";"81.5";"12.5";"73.9";"18.2";"30.50"
"Samson Iyede Onomigho";"FC Chernomorets Odessa";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"CF";"Center Forward";"89.63";"1998-01-28";"10098.5";"1165.8";"505.1";"135.6";"640.6";"44.2";"10.0";"54.2";"86.4";"9.0";"83.3";"14.1";"27.20"
"Igor Soldat";"FC Minai";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"RB";"Full Back";"94.46";"1991-03-10";"9507.8";"942.3";"299.2";"79.1";"378.3";"28.6";"6.7";"35.3";"79.1";"5.7";"67.6";"12.4";"28.30"
"Andriy  Shtogrin";"FC Chernomorets Odessa";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"LW";"Wide Attacker";"89.63";"1998-12-14";"10545.4";"1360.6";"751.1";"267.1";"1018.2";"58.2";"18.1";"76.3";"69.3";"13.1";"70.3";"14.1";"30.60"
"Andriy Ralyuchenko";"FC Minai";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"RDM";"Midfield";"68.13";"1995-06-08";"11620.9";"1796.6";"416.1";"63.4";"479.5";"38.3";"5.3";"43.6";"89.8";"5.3";"97.8";"11.9";"26.30"
"Oleksandr Vasylyev";"FC Chernomorets Odessa";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"DM";"Midfield";"94.46";"1994-04-27";"10928.4";"1072.8";"364.0";"72.4";"436.4";"27.6";"4.8";"32.4";"65.7";"1.9";"68.6";"9.5";"26.90"
"Oleg Vyshnevskyi";"FC Minai";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"CF";"Center Forward";"68.13";"1995-10-04";"10100.4";"1391.0";"532.4";"163.8";"696.2";"48.9";"7.9";"56.8";"89.8";"4.0";"75.3";"26.4";"27.40"
"Jon Šporn";"FC Chernomorets Odessa";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"LM";"Midfield";"94.46";"1997-05-22";"11852.6";"1926.5";"649.8";"150.5";"800.3";"47.6";"10.5";"58.1";"76.2";"4.8";"72.4";"7.6";"28.10"
"Orest Kuzyk";"FC Chernomorets Odessa";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"RM";"Midfield";"85.83";"1995-05-17";"9983.6";"1114.6";"414.2";"155.2";"569.4";"34.6";"8.4";"43.0";"75.5";"6.3";"77.6";"15.7";"29.50"
"Ziguy Badibanga";"FC Chernomorets Odessa";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"RW";"Wide Attacker";"89.63";"1991-11-26";"9614.5";"1416.8";"620.6";"267.1";"887.6";"56.2";"17.1";"73.3";"87.4";"16.1";"85.4";"29.1";"28.50"
"Oleksandr Melnyk";"FC Minai";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"RCB";"Central Defender";"94.46";"2000-02-10";"9805.1";"1041.4";"354.4";"95.3";"449.7";"28.6";"5.7";"34.3";"64.8";"3.8";"63.8";"6.7";"27.60"
"Volodymyr Salyuk";"FC Chernomorets Odessa";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"RCB";"Central Defender";"94.46";"2002-06-25";"9699.3";"1169.1";"405.9";"75.3";"481.2";"35.3";"6.7";"41.9";"63.8";"6.7";"53.4";"11.4";"27.20"
"Ehor Tverdokhlib";"FC Minai";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"RW";"Wide Attacker";"68.13";"2000-12-17";"11767.5";"1784.7";"734.5";"247.0";"981.5";"52.8";"14.5";"67.4";"80.6";"5.3";"76.6";"26.4";"29.30"
"Vadym Vitenchuk";"FC Minai";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"LDM";"Midfield";"94.46";"1997-01-13";"10758.8";"1678.8";"530.7";"66.7";"597.4";"42.9";"5.7";"48.6";"81.9";"5.7";"74.3";"21.0";"25.60"
"Yegor Gunichev";"FC Minai";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"AM";"Midfield";"94.46";"2003-12-31";"10963.7";"1569.2";"608.8";"177.2";"786.0";"54.3";"6.7";"61.0";"82.9";"5.7";"81.0";"15.2";"28.30"
"Dmytro Nemchaninov";"FC Minai";"FC Chernomorets Odessa v FC Minai";"UKR - Premier League";"LCB";"Central Defender";"94.46";"1990-01-27";"9654.6";"934.7";"256.3";"61.0";"317.3";"21.0";"2.9";"23.8";"68.6";"3.8";"61.0";"9.5";"28.70"
"Roman  Didyk";"FC Rukh Lviv";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"LCB";"Central Defender";"95.20";"2002-12-02";"9252.4";"1073.9";"305.4";"62.4";"367.8";"26.5";"1.9";"28.4";"70.0";"1.9";"57.7";"6.6";"28.00"
"Vitaliy Roman";"FC Rukh Lviv";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"LB";"Full Back";"95.20";"2003-04-15";"9894.3";"1249.8";"466.1";"199.5";"665.5";"41.6";"9.5";"51.1";"76.6";"6.6";"70.9";"13.2";"30.00"
"Yuriy Klymchuk";"FC Rukh Lviv";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"CF";"Center Forward";"95.20";"1997-05-05";"9500.1";"1261.1";"588.0";"212.7";"800.7";"54.8";"9.5";"64.3";"70.0";"12.3";"66.2";"18.9";"29.80"
"Igor Soldat";"FC Minai";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"RB";"Full Back";"95.20";"1991-03-10";"9730.8";"1134.5";"406.5";"97.4";"503.9";"36.9";"5.7";"42.5";"87.0";"3.8";"77.5";"14.2";"26.40"
"Tymur Korablin";"FC Minai";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"RDM";"Midfield";"95.20";"2002-01-02";"10631.7";"1519.2";"422.6";"48.2";"470.8";"35.0";"2.8";"37.8";"67.1";"2.8";"63.3";"7.6";"25.80"
"Viv Solomon-Otabor";"FC Rukh Lviv";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"LW";"Wide Attacker";"78.07";"1996-01-02";"9719.4";"1513.6";"712.4";"145.3";"857.7";"70.3";"6.9";"77.2";"76.1";"10.4";"72.6";"6.9";"32.20"
"Volodymyr Odaryuk";"FC Minai";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"RW";"Wide Attacker";"67.90";"1994-02-13";"11848.5";"2034.6";"778.1";"193.5";"971.6";"66.3";"10.6";"76.9";"95.4";"4.0";"78.2";"15.9";"28.30"
"Oleksiy Sych";"FC Rukh Lviv";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"RB";"Full Back";"95.20";"2001-04-01";"10671.4";"1795.3";"791.3";"389.5";"1180.8";"56.7";"18.0";"74.7";"91.7";"6.6";"82.2";"18.9";"29.70"
"Bogdan Slyubyk";"FC Rukh Lviv";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"RCB";"Central Defender";"95.20";"2004-02-11";"9613.6";"1243.2";"477.4";"102.1";"579.5";"38.8";"5.7";"44.4";"65.2";"4.7";"49.2";"11.3";"28.80"
"Marko Sapuga";"FC Rukh Lviv";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"LDM";"Midfield";"95.20";"2003-05-29";"11090.2";"1782.0";"663.7";"116.3";"779.9";"52.9";"8.5";"61.4";"73.7";"3.8";"71.8";"13.2";"26.90"
"Oleksandr Melnyk";"FC Minai";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"RCB";"Central Defender";"95.20";"2000-02-10";"9238.2";"964.3";"292.1";"153.2";"445.3";"27.4";"4.7";"32.1";"75.6";"4.7";"54.8";"11.3";"31.40"
"Andriy Buleza";"FC Minai";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"LB";"Full Back";"95.20";"2004-01-25";"10355.7";"1377.4";"649.5";"193.8";"843.3";"52.0";"11.3";"63.3";"94.5";"1.9";"71.8";"18.9";"27.30"
"Edson Fernando da Silva Gomes";"FC Rukh Lviv";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"RDM";"Midfield";"70.38";"1998-04-24";"10097.2";"1491.0";"529.4";"88.2";"617.6";"39.6";"7.7";"47.3";"79.3";"7.7";"65.2";"17.9";"26.00"
"Ehor Tverdokhlib";"FC Minai";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"AM";"Midfield";"95.20";"2000-12-17";"11604.5";"1975.8";"685.4";"141.8";"827.2";"52.0";"9.5";"61.4";"80.4";"3.8";"65.2";"16.1";"28.00"
"Vadym Vitenchuk";"FC Minai";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"LDM";"Midfield";"95.20";"1997-01-13";"10997.6";"1947.5";"665.5";"79.4";"745.0";"51.1";"2.8";"53.9";"86.0";"6.6";"80.4";"20.8";"26.50"
"Yegor Gunichev";"FC Minai";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"CF";"Center Forward";"72.67";"2003-12-31";"10335.1";"1470.1";"499.1";"109.0";"608.1";"53.3";"5.0";"58.2";"85.5";"11.1";"63.2";"17.3";"27.80"
"Dmytro Nemchaninov";"FC Minai";"FC Rukh Lviv v FC Minai";"UKR - Premier League";"LCB";"Central Defender";"95.20";"1990-01-27";"9203.3";"897.2";"206.1";"39.7";"245.8";"18.9";"1.9";"20.8";"70.9";"4.7";"61.4";"14.2";"25.30"
